company_name,company_type,company_city,company_latitude,company_longitude,venue_category,venue_name,venue_distance,venue_latitude,venue_longitude
eRepublik,Video Games,Madrid,40.43094,-3.6952896,School,I.E.S. Santa Marca,208,40.430942,-3.697755
eRepublik,Video Games,Madrid,40.43094,-3.6952896,School,I.E.S. Santa Engracia,236,40.429859,-3.696724
eRepublik,Video Games,Madrid,40.43094,-3.6952896,School,Pekosos,402,40.431747,-3.69991
eRepublik,Video Games,Madrid,40.43094,-3.6952896,School,Instituto de Formacion en Gerontologia y Servicios Sociales,422,40.428065,-3.698552
eRepublik,Video Games,Madrid,40.43094,-3.6952896,School,Colegio Público de Educación Infantil y Primaria Ramiro de Maeztu,449,40.427533,-3.698164
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,School,King's College International,267,40.438312,-3.680219
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,School,Total Publishing Network,270,40.43937,-3.67334
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,School,Seminario Interprovincial Hijas de la Caridad,381,40.437746,-3.671576
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,School,Instituto de Educacion e Investigacion,400,40.437248,-3.680668
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,School,Cp Patriarca Obispo Eijo Garay,445,40.439492,-3.681406
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,School,I.E.S. Beatriz Galindo,358,40.425155,-3.686227
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,School,Academia Qz Barrio Salamanca,486,40.42668,-3.683823
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,School,Instituto de Educacion Secundaria Fortuny,595,40.432654,-3.690032
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,School,Centro de Enseñanzas Tecnicas Especializadas,615,40.422333,-3.6927
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,School,Instituto Complutense de Ciencias Musicales,629,40.425698,-3.69664
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,School,Cp Cantos Altos,300,40.635172,-3.999393
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,School,Colegio Público de Infantil y Primaria Cantos Altos,300,40.634074,-3.998853
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,School,Cp Ee Peñalara,335,40.639079,-4.000449
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,School,Ies las Canteras,364,40.639378,-4.000016
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,School,El Cole de los Peques,369,40.639968,-3.997999
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,School,Academia Aries,32,40.422775,-3.68279
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,School,Juan Evangelista Ruiz de Burgos,284,40.424175,-3.680439
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,School,Institut d'estudis aplicats,312,40.425244,-3.681979
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,School,I.E.S. Beatriz Galindo,406,40.425155,-3.686227
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,School,Academia Qz Barrio Salamanca,463,40.42668,-3.683823
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,School,Carrusel,353,40.447649,-3.66732
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,School,Congregacion Santos Angeles Custodios,355,40.446352,-3.675449
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,School,El Parque,386,40.444142,-3.670025
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,School,Silvia Mamá de Día,388,40.447746,-3.666921
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,School,Patrocinio de San Jose,429,40.450767,-3.668914
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,School,Centro Leo Kanner,105,40.4899,-3.702581
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,School,Jardin de Infancia Geminis,130,40.489893,-3.704653
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,School,Escuela Infantil Pícolo,353,40.487687,-3.705277
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,School,Instituto de Educacion Secundaria Damaso Alonso,410,40.487356,-3.700803
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,School,Ies Damaso Alonso,412,40.487333,-3.700828
